,screen_name,stance,med
365,AndHeGrows,-1,False
366,jenkers_en,0,False
367,kare11,1,False
368,SamanthaSonner,1,False
370,iowasnewsnow,-1,False
371,TheWatchmanNews,1,False
372,GideonGil,1,False
373,RCNPublisher,0,False
374,NewThinq,0,True
375,cheddar,1,False
376,skepticalraptor,-1,False
377,MaddMiche,0,False
378,samturpin,0,False
379,virginianpilot,1,False
380,dofbutterflies,1,False
383,PnarBradford,1,False
384,mike_muffler,1,False
387,TaNaishaJ,1,False
388,drjohnm,0,True
389,hokieamyd90,1,False
390,TownTalkDotCom,1,False
391,KCBSRadio,1,False
392,donaldhackett,0,False
393,SharonKyle00,0,False
394,NatGeoMag,1,False
396,drkiki,1,False
397,GenieGr06689488,0,False
398,SemaSgaier,1,False
399,YalePediatrics,0,False
400,sfbionetwork,0,False
401,WesElyMD,1,True
402,mattjholland,0,False
403,medpagetoday,0,False
405,VINNews,0,False
406,FOX42KPTM,1,False
407,dreamgirls,-1,False
408,AshleyKTVO,0,False
409,WTEN,1,False
410,KTXS_News,0,False
411,FlossObama,1,False
412,WDHN,1,False
413,wfaa,0,False
414,Cj_PaceJr,-1,True
416,DenverChannel,0,False
417,KMPHFOX26,0,False
418,sherzad_sher,0,False
419,PeoplesPharmacy,0,False
420,cngarabedian,0,False
421,jackiedetore,0,False
422,postandcourier,1,False
423,SpecNews1Triad,0,False
424,GenieGr06689488,0,False
425,GenieGr06689488,0,False
426,ALDailyNews,0,False
428,WRCB,1,False
430,loni_r1,-1,False
431,journalcourier,-1,False
433,alt_brainnews,1,False
434,avivajazz,-1,False
435,JosephHarrisBU,0,False
436,Brian02163188,1,False
438,KEYCNewsNow,0,False
439,1929home,1,False
440,SeekingAlpha,-1,False
441,TIICANN,1,False
442,rabbit1906,-1,False
443,ExactOptionPick,1,False
444,lorakolodny,1,False
445,WWAY,0,False
446,nebweber,1,False
447,newsbreakApp,0,False
449,realjrobinson86,-1,False
450,Covid_us_org,1,False
451,clarionledger,1,False
452,SandraM39924753,1,False
453,MorningEdition,-1,False
454,ms101phd,-1,False
455,CuratioL,0,False
456,CandiceRose,0,False
457,allabouta2,1,False
458,KQEDscience,0,False
459,kimball4,0,False
460,PWB_Global,0,False
461,GregoryTSimpson,1,False
462,PghLifeSciences,1,False
463,BNCNews,0,False
464,carlosolin,0,False
465,VandalsSmile,0,False
466,stromdans,1,False
467,astockwatch1,1,False
468,HealthGAP,0,False
469,GenieGr06689488,0,False
470,AmandaSHansen,1,False
471,KatieWGME,0,True
472,tatianycoeuvre,-1,False
473,LoneStarDem,0,False
474,YorkDispatch,1,False
475,DailyOutsider,1,False
476,wbaltv11,0,False
477,fpizart,1,False
478,nmlinguaphile,0,False
480,Maggiebund3,1,True
481,iambatmandoug,0,False
482,pikestaff2,1,False
483,rehafer,-1,False
484,thehill,1,False
485,WGXAnews,1,False
486,Turtlex01,1,False
488,bizsolutionsvcs,0,False
489,fox28columbus,0,False
490,93wibc,1,False
491,ABC7Amarillo,0,False
493,lcletter,-1,False
494,CNNSotu,1,False
495,icer_review,-1,False
496,ColumbusJNews,1,False
497,MarketCurrents,0,False
499,VIXC_News,1,False
500,WKOW,0,False
501,WFMY,1,False
502,KevinBSneed,1,False
503,anarcho,1,False
504,newsfilterio,1,False
505,newsfilterio,-1,False
506,afridijalil,0,False
507,TambovskVolk001,1,False
508,MAPharmacists,1,False
509,ksatnews,1,False
510,saigonner,0,False
511,Albertrades,1,False
512,BioFlorida,0,False
513,MSuzman,1,False
514,CBS21NEWS,0,False
515,BioCalifornia,0,False
516,NBCNewsNow,0,False
517,PatriciaThom10,0,False
518,MadaganSharon,-1,False
519,JMccly,1,False
520,Todd_Yancey,1,False
521,WCCO,1,False
522,shrimpzoo,0,False
523,skathire,0,False
524,BrittanyinTexas,1,False
525,WICH1310,1,False
526,Mike_Rapach,0,False
527,JewishVoice,0,False
528,Daily_Press,1,False
529,pennylanebean,-1,False
530,VOAStevenson,0,False
531,thehill,1,False
532,ms101phd,0,False
533,3onyourside,1,False
534,abworldnews,0,False
535,CBS58,0,False
536,barronsonline,1,False
537,CBSLA,0,False
538,DTuskey,-1,False
539,denuribe73,0,False
540,JaredSHopkins,0,False
541,surgicalcaps,1,False
542,jemillerwbal,1,False
543,GenieGr06689488,0,False
545,skepticalraptor,-1,False
546,rmgg5553,0,False
547,SquawkCNBC,1,False
548,WPSDLocal6,0,False
549,IndyUSA,1,False
550,Mptaas,1,False
551,bigcountryhome,-1,False
552,re7382,-1,False
553,dimplasm,1,False
554,CBS4Local,0,False
555,mileskimball,-1,False
556,AvaPittmanTV,0,False
557,Treasure530,0,False
558,abc_columbia,1,False
559,ghn_news,1,True
560,ABCNews4,0,False
561,wrtv,1,False
562,Symone40,1,True
563,SemaSgaier,1,False
564,TALK1370,1,False
565,TheStreet,-1,False
566,js_newswatch,1,False
567,HercNav130,0,False
568,HelenBranswell,0,False
569,HoumaToday,1,False
570,NC5,0,False
571,nytquestions,0,False
572,shreveporttimes,1,True
573,BenMazer,1,False
574,rhomansjr,0,False
575,happydreams22,0,False
576,TheCompoundNews,1,False
577,MikeButlerSmith,1,False
578,Gastro_Advisor,1,False
579,wolfenyc,0,False
580,ronniedepesa,0,False
581,WSILNews,1,False
582,tommyzionist,1,False
583,akgirl37,-1,False
584,JoePiscopoShow,0,False
585,mycbs4,0,False
586,FrancCrist,-1,False
587,DCATvci,0,False
588,Nav_Imagine,0,False
589,NotPapaP1,-1,False
590,UNC_Health_Care,1,False
592,ItsaMe_Chris,1,False
593,LFT411,-1,False
594,Evelyn31721,1,False
595,AnitaZaidi,1,True
596,tackettdc,1,False
597,KUTV2News,1,False
598,DelthiaRicks,1,False
599,iowasnewsnow,0,False
600,AieraAlerts,0,False
601,Kimmars33Mars,-1,False
602,LekshmiMD,0,True
603,WHAS11,0,False
604,GenieGr06689488,0,False
605,nytimes,1,False
606,FOX29philly,0,False
607,WBRCnews,-1,False
608,Allison59798116,1,False
609,WGME,1,False
610,kevinchenNYC,0,False
611,Jake_1791,0,False
612,Boghuma,0,False
613,SpecNews1RDU,0,False
614,LibsOwner,-1,False
615,super_dawny,1,False
616,WSILNews,0,False
617,TimesRecord,1,False
618,WilliamMMcKee,1,False
619,WesElyMD,0,True
620,gardenswartzj,0,False
621,LogycThaLion,1,False
622,XChemInc,1,False
623,VikingNylander,1,False
624,michaeldeand01,1,False
625,SkyNetPlatform,0,False
626,daw3110,1,False
627,Texasville44,-1,False
628,JFrusci,0,False
629,dcfairbank,0,True
630,CallAFS,1,False
631,AlbertPattee,1,False
632,bakagi,1,False
633,WEAU13News,1,False
634,amelscript,0,False
635,newsfilterio,0,False
636,ScienceNews,1,False
637,avocadoatlawnyc,-1,False
638,CrackerDaddy,1,True
639,MaddMiche,1,False
640,WGRZ,0,False
641,WSJ,1,False
642,BioCalifornia,0,False
643,theadvertiser,1,False
644,jakescottMD,1,False
646,toddcstacy,0,False
647,PaigeBTurnin,1,False
648,nikiya_c,-1,False
649,GSUIBMS,1,False
650,Tudec,-1,False
651,Gastro_Advisor,1,False
652,KPRC2,0,False
653,wsbtv,1,False
654,UNCSPHdean,1,False
655,fredwalton216,1,False
656,taichinow,1,False
657,midtownNY,0,False
658,HarbingerMLEC,-1,False
659,Tennessean,1,False
661,thehill,1,False
662,MarketCurrents,0,False
663,FOX42KPTM,1,False
664,GVWire,1,False
665,Kramer_Pollack,1,False
666,marycbarkley,1,False
667,GMA,1,False
668,HedgeFundRisk,1,False
669,hburgamerican,1,False
670,rmchavin,-1,False
671,MGMAdvertiser,1,False
672,pfrenchbarber,1,False
673,wjrradio,0,False
674,MARIELinBOSTON,1,False
675,FrnkTss,0,False
676,thehill,0,False
677,SandyGirl4Him,1,False
678,seattletimes,0,False
679,prmullen69,-1,False
680,TheRewiredSoul,0,False
681,WSPA7,1,False
682,KTAR923,1,False
683,ArtL7,0,False
684,nbcsandiego,1,False
685,GSU_Research,0,False
686,Mike71442212,1,False
688,cbschicago,1,False
689,rachelannwegner,1,False
690,TrainingForReal,-1,False
691,Joeval0131,1,False
693,fox13seattle,0,False
694,Quietstormlc,1,False
697,CindyLSchroeder,1,False
698,fastlerner,1,False
699,igor_os777,0,False
700,LeafChronicle,1,False
701,JCPress,1,False
702,marcusrpeterson,-1,False
703,HedgeFundRisk,1,False
704,GenieGr06689488,0,False
705,MiguelMValle,1,False
706,wnct9,1,False
707,davyjoe1957,-1,False
708,GenieGr06689488,0,False
709,WHYYNews,1,False
710,KING5Seattle,0,False
711,IanWVTM13,1,False
712,McGovernMed,-1,True
713,FallingDj,-1,False
714,CleveJN,1,False
715,TarNFeathers,0,True
717,MPRnews,1,False
719,Dr_DaveCampbell,1,True
720,sunicamarkovic,1,False
721,knoxnews,1,False
722,Schwarah95,1,False
723,phone_home,0,False
724,DrugStoreNews,1,False
725,MyNews13,1,False
726,dubvNOW,1,False
727,_oftoday_,1,False
729,TheWordofDon,-1,False
730,MacinEwa,-1,False
731,natty4bumpo,-1,False
732,alt_brainnews,1,False
733,drbeen_medical,-1,True
734,DanielGriffinMD,1,True
735,KQEDnews,0,False
736,SocialistJackie,-1,False
737,QuantData,1,False
738,CharaStone6,0,False
740,Darrick75677354,0,False
741,mahaatout1,0,False
742,redherringdraws,1,False
743,ms101phd,-1,False
744,WCTV,-1,False
746,megtirrell,1,False
747,WSCSummit,1,False
748,daveyoung84,1,False
750,mike_muffler,-1,False
751,TimesFreePress,1,False
753,CTPharmacists,1,False
754,JSunNews,1,False
756,newsfilterio,1,False
757,VanAllenPlexico,-1,False
759,drjkahn,0,False
760,WTHRcom,0,False
762,ABC13News,1,False
763,drklausner,1,True
764,WECpoker,-1,False
765,ScienceNews,-1,False
766,KDVR,1,False
767,WECpoker,-1,False
768,KTLA,1,False
769,lmposey,0,False
770,CynsTreat,1,False
771,RussellKBrett,0,False
772,DailyComet,1,False
773,newsfilterio,0,False
774,AJBlackston,0,False
775,kennethafisher,0,False
776,JaredSHopkins,1,False
777,12NewsNow,1,False
778,USATODAYNEWS24,1,False
779,MSuzman,1,False
780,margreis9,0,False
781,greta,1,False
782,wbalradio,1,False
783,SkyNetPlatform,0,False
784,happydreams22,0,False
785,KittyVons,1,False
786,dnj_com,1,False
787,kiii3news,1,False
788,fox43,0,False
789,Castaa,0,False
790,SpecNews1CLT,0,False
791,FortuneMagazine,0,False
792,davidchao,0,False
793,timesnewsonline,1,False
794,CTPharmacists,0,False
795,FortuneMagazine,1,False
796,FOX23News,1,False
797,kath2cats,1,False
798,saigonner,0,False
799,christi41778735,1,False
800,cw63628,1,False
801,Zonya25370209,-1,False
802,KSNNews,1,False
803,OceanCityDental,1,True
804,RoseSymotiuk,1,False
805,CAPharm,1,False
806,gregory_clay,1,False
807,DaLuckyOne1,-1,False
808,ChemicalJobs,0,False
809,ksatnews,0,False
810,SpecNews1MTN,0,False
811,MoknowsMinimo,1,False
812,KATUNews,0,False
813,SoSure,0,False
814,TomMorrow133,1,False
815,memphisnews,1,False
816,BullishPlug,0,False
817,Kyuchan34267788,-1,False
818,saigonner,1,False
819,BrianOSheaSPI,0,False
820,covid_quest,0,False
821,sarahhmostafa_,0,True
822,VictorXiong,1,False
823,abc13houston,1,False
824,JRPSD,1,False
825,drkiki,0,False
826,allangoode,0,False
827,AnaHollinger26,0,False
828,KTULNews,0,False
829,DelthiaRicks,1,False
830,WashInformer,0,False
831,Konspiracy_Cat,1,False
832,clincierge,1,False
833,DrugStoreNews,1,False
834,MooseRandy,0,False
835,SpecNews1ILM,0,False
836,ChiNewsBench,0,False
837,nbcbayarea,1,False
838,Watchinga,1,False
839,WarRocketAjaxJr,-1,False
840,FlossObama,1,False
841,_oftoday_,-1,False
842,rmchavin,-1,False
843,PhillyInquirer,-1,False
845,WatchOurCity,-1,False
846,ZAQSBusiness,-1,False
847,scoopgirl,0,False
848,InfoAppTo,-1,False
849,Mananui,0,False
850,vipertoxin,-1,False
851,Sergei_Ardzinba,-1,False
852,DrIanWeissman,0,False
853,danaparish,0,False
855,P4AD_,1,False
856,LittleBitLess1,0,False
857,TheHStyle,-1,False
858,Evelyn31721,-1,False
859,InfoAppTo,-1,False
860,ms101phd,1,False
861,GundSand,0,False
862,InfoAppTo,-1,False
863,Drvizz1,-1,False
866,DonaldP28785881,0,False
867,WMAR2News,0,False
868,TheDickManMojo,-1,False
869,pthomsen,-1,False
870,billck,-1,False
871,conknews,0,False
872,fredwalton216,1,False
873,heknowbestt,1,True
874,IdaFlo,-1,False
875,rgbneves,-1,False
876,LeslieTruax,-1,False
877,evgene21,0,False
879,MisesNV,0,False
880,heknowbestt,1,True
883,rbecks44,1,False
885,jpatadams,0,False
890,newsfilterio,0,False
891,BettinaEckerle,1,False
892,OttoKurect,1,False
893,Pepvax,1,False
894,eldoen,1,False
895,sami_karam,1,False
896,equity_newswire,0,False
897,TPrevoJr,-1,False
898,virginiahughes,0,False
899,AutonomousCNS,0,False
900,Gulmisalim,1,False
901,PhD_Pirrone,1,False
902,vipertoxin,-1,False
903,dbyrd000,1,False
904,jdvoelkerding80,-1,False
905,jkbelk,0,False
906,CrweWorld,0,False
907,allaboutchemist,0,False
909,QuePasa19242829,-1,True
911,nan_mclellan,0,False
912,vtmtrading,1,False
913,TheSportsJD,1,False
914,keith_caughran,-1,True
916,jasonpaisley,-1,False
917,Chris_nDC,-1,False
918,Michael_D_Green,1,False
921,COSWAGGER,1,False
923,PeterEliya,0,False
924,Live_News_Nick,0,False
925,America98636706,-1,True
926,mindgomes,0,False
929,CarbonHealth,0,False
931,mike10010100,-1,False
932,huntermeister1,-1,False
935,MSingletonMDJD,1,True
937,PressRelease_cc,0,False
939,KHNews,0,False
940,ctmock,1,False
941,VoiceofReasonNY,1,False
943,GardnerHadrons,1,False
944,FlashAlert_me,0,False
946,andybnerdy,0,False
947,SkittlesMcClure,1,False
948,TheDemocraticC1,0,False
949,MsPrince1975,-1,False
950,josephenicholas,1,False
952,VermontEve,-1,False
956,afshineemrani,1,True
958,daniel_kraft,1,False
959,alita1130,1,False
964,EmoryOTT,0,False
968,mindgomes,1,False
970,jt120651,0,False
971,AOL,0,False
972,LaraKD_2020,0,False
973,bhalomanush,0,False
975,hsgibbons1,-1,False
978,DrIanWeissman,0,False
979,mikedidgood,-1,False
980,LizHighleyman,1,False
983,ingramjr,-1,False
986,jt120651,0,False
988,GuthrieDavis,0,False
989,Cthulu4ever,1,False
991,bhalomanush,0,False
993,vtmtrading,0,False
995,fredwalton216,1,False
996,LeftySr,0,False
999,hutson_ciera,1,False
1000,LeilaSHojat,-1,False
1001,cathleen28,0,False
1002,drice59,0,False
1003,juanzapata1003,1,False
1004,BrainwashFree,0,False
1006,FuruKyouka,-1,False
1010,EINGlaxoNews,0,False
1013,deborah__buck,0,False
1015,onestep1999,1,False
1016,CtownBnnaPantz,1,False
1019,youmissat,1,False
1020,josiemad1,-1,False
1022,lollanna,-1,False
1025,the_ason,-1,False
1028,TerryBoyce13,-1,False
1029,cburks2,-1,False
1032,jorge_thekraken,0,False
1033,NV96308613,-1,False
1034,sunejen2000,-1,False
1035,troycoverdale,-1,False
1037,CtownBnnaPantz,-1,False
1041,Potluck1Ton,-1,False
1042,SarcasmoDeMiami,1,False
1051,ElipieMegan,1,False
1052,NoSonMisCabros,0,False
1053,hfrank6048,1,False
1054,_useless_eater,0,False
1055,christo66306433,-1,False
1056,CTMQ,-1,False
1058,DeirgVanStein,-1,False
1061,bocajoes,-1,False
1062,stevesgirl56,0,False
1067,ChsrlesGranber1,-1,False
1068,Cycle_Pilot,-1,False
1069,baskinskitten,1,False
1070,sunejen2000,-1,False
1071,DeirgVanStein,1,False
