twitter_id,dem_count,rep_count
1246049038186598403,0,0
701166589,4,2
825019867182960640,0,0
2987308143,6,0
75489786,5,2
464929665,1,0
1117304418733522944,3,0
825939005657083905,13,0
334576185,0,0
134649893,0,0
4497458959,5,16
15460376,0,0
1142348091493765120,0,0
1349399417867165700,4,15
1222866171856375808,0,1
112913079,0,0
2186623778,0,11
758042588,0,0
1117776886686470145,0,0
4866986176,1,1
1000764435881918464,3,0
769710379190644736,1,0
322881819,110,3
2428264950,20,3
4650835518,1,29
1158620799466647553,6,16
1403232081283538947,0,7
1305505707362574336,0,0
452120881,3,1
352652300,18,2
1282122375471886336,0,0
1241614634865414144,1,0
1242823430,0,0
2180280823,0,2
1137735120755077120,0,0
705977826609139712,1,65
1222931856225492992,0,0
46948570,21,2
21198045,3,0
44700431,12,3
468174121,0,0
322373965,12,1
818457252533178369,0,0
3141298703,0,0
1536286315,0,0
1274558161521799168,0,0
1458414507475312642,0,0
25628146,0,0
870391897902129152,0,0
16033426,0,0
1277273004817481728,1,0
902997123012206592,0,0
14866021,2,0
897905180162785285,0,7
893137046197424129,0,0
350671902,1,0
31049163,3,1
1217223160887697409,0,0
753935918721970177,1,0
778786475651567616,9,2
1224636095016554496,0,0
602817308,0,0
1244623110034403328,0,0
2325728756,17,17
2568921277,0,0
4267058183,23,5
945719120464699394,0,11
1118811729989758977,1,4
594100940,1,6
182751400,11,1
1198966054774562816,0,0
1384058182083829763,0,0
33619524,0,2
112968340,0,0
1403392077824761857,0,0
1265649949439438848,0,0
16887934,1,0
1548726020,12,1
749296418083446784,0,0
1223308664427044864,0,0
221767099,0,0
279848159,0,0
1328759384902496257,0,0
140495984,2,0
44695601,0,0
3370001,17,0
781746903377649664,2,1
1014249685,32,1
1618140146,5,22
414882894,0,0
1367855842846859274,0,0
957198880231206912,0,0
285428342,2,0
996717109987033089,1,0
1227978230495211520,2,0
123812364,6,2
3587065092,0,0
143487730,0,0
938800345236439040,0,0
507601641,0,0
1260089025131450369,0,0
106117922,1,0
2984556708,1,3
284935422,4,0
1185468481572986880,3,0
784414826307153920,7,3
705813938093629440,0,0
95625019,7,0
317608016,6,1
2781501419,0,5
838299743574896640,13,1
801256454401331201,32,1
1327727202776002560,11,4
701289954,0,0
1385544794,1,0
820628985667166212,3,0
1239762159543799810,12,0
1271229580225937408,27,4
472578840,29,3
1289054341240766465,0,0
1260466184903933960,0,0
1209878225783934981,0,0
745130569348980737,0,0
1543307924,0,0
997890070790197249,0,1
1065983497,0,0
223746373,0,0
369633963,0,0
832616218825613313,1,25
1271678419726524417,0,0
4912788444,4,0
72176349,5,1
1216492481564610560,0,0
1109608838200737792,9,8
15633744,1,0
539403506,0,2
23373309,1,1
635090589,1,1
533191810,2,1
1121751556724932609,0,0
726082680,4,2
152883802,21,4
1019818694090797057,0,0
42251939,1,0
1240809624384819200,22,2
1331523428,2,2
3195977465,0,0
85830890,0,0
285317846,8,3
779020214390235136,2,0
1073867609500602368,0,0
17876559,0,0
1237732102608752641,60,8
329597740,2,0
905189474665160705,3,0
934680902726062081,27,2
981612150970974208,0,0
1170326990089588736,3,0
67995460,15,1
2925286221,1,14
101113158,0,0
16941958,0,1
1253573814044315649,0,0
2579852005,0,1
45583462,5,31
773266939279998977,8,49
3230198245,9,0
1273891192619495425,1,0
21485279,40,6
940204452,0,7
955718763869036544,0,0
1227976579915112453,0,0
117121206,1,4
66457088,114,6
901444059327234048,4,27
252284338,1,0
60398631,0,0
194989479,12,2
940627487343734785,0,3
28899643,29,1
1112248998348218369,0,0
953770640,1,0
304234073,10,0
1270674026189541376,0,0
107497796,78,49
41435071,1,3
1267908888738832386,0,16
139815703,6,0
931607124781789185,0,0
1574948449,0,0
1302331686529703937,0,0
18449772,0,0
734645267140644864,1,0
1419297950014926849,0,0
248597206,0,0
767262311627104258,0,0
1951616070,0,0
61676971,1,0
135088594,0,0
1056255707119579139,0,0
1275564870939918336,0,0
1144151307995009024,0,0
825087547172741120,2,0
703912977867517952,0,0
10561,0,0
134412735,0,0
1298662106661707776,1,0
311478773,4,0
878962137103814656,0,1
2350708150,33,18
1309547539264233472,0,0
2649050406,6,0
239065612,0,0
1295003679410405378,2,1
1172461579968765952,0,0
349010375,0,0
104133921,0,0
2326820828,0,0
1189257754344677383,0,0
1208493639011225600,0,0
248549401,1,0
20433284,3,0
484765127,2,0
3313946418,6,0
879065539,23,0
997882749359874048,0,4
104398543,0,0
246170209,3,0
952619509545914369,0,0
244338103,0,40
1251536823698030592,1,1
2365231105,0,0
1319398395061075973,0,0
283711318,10,1
546881957,0,0
792540121,0,0
1234874334092525568,57,7
1345981040003866624,1,0
80759757,0,0
1415140304,0,0
56359894,0,0
1011824658159755264,0,0
20806376,0,0
1379212950,0,0
771441822,0,0
2515525025,5,1
65298309,7,0
93724917,20,9
383686909,1,0
4857408005,0,0
62444185,30,2
622075091,0,0
767371276059025409,0,0
358129309,0,0
2437230362,28,2
1180259294,0,0
2178422364,0,0
72985045,1,0
26060925,1,1
835262392627933184,6,0
903953910,1,2
2634652240,130,17
609479880,1,0
1182311543850950657,0,0
15043065,2,0
2553021049,0,0
1354135544561733632,0,1
380865861,0,0
1676026398,0,0
381771834,0,0
1415833896390905859,0,5
824740486724231168,9,0
867128530982842369,0,9
2420783238,0,3
1183158009150791682,8,2
89444051,4,0
896412891045388288,0,0
552825202,0,0
731803688,33,11
2390668243,0,1
973000170,0,2
26952265,37,86
849372766994395136,0,0
1111752620,0,55
45619658,3,4
113851737,1,0
1546075292,0,0
131848648,3,0
44972005,0,0
876720897201119232,2,0
770396582395179008,0,0
1288584604551647232,5,0
1606155493,0,0
1539806210,2,0
1252899447442292736,0,0
875370277433204736,3,0
1271652634567471104,1,1
1134722593947209728,1,1
23480891,6,4
464378179,12,0
297696448,1,0
1054673619047993345,2,0
3249375110,0,17
314235054,2,1
2766383488,2,0
1045907350429683712,2,0
1040069642,1,0
25694578,0,0
1154348259688603648,0,0
2633179534,18,0
1364677603500511232,0,0
47813279,6,0
2517084372,2,0
2393257998,1,1
1017570618,0,33
2777081299,0,22
1368405891494539264,0,0
1145545770071781376,0,0
3365901605,2,3
829502620834344960,0,0
1252538883985809409,0,0
1289215341080453120,0,0
4440748756,0,0
2348109451,0,0
825726040882425857,40,31
3308262900,0,27
1234031119546236928,0,0
237152597,3,0
1247329533771911168,0,9
416157197,2,2
54361812,0,0
1275536276087808000,0,10
1293957321039785987,3,0
46352679,0,0
3244242044,2,2
41320913,5,0
82815038,0,0
1689021540,15,0
792205329291284480,1,0
2306079439,0,0
263846740,1,7
373312260,0,0
2351810912,5,1
1595669334,1,0
1425463627780444170,39,3
3324174916,1,5
2372423606,1,0
772546879867523072,0,0
254780563,4,1
1192453617367863297,0,0
4434650776,1,2
30002837,1,3
3170925475,64,9
552971970,0,0
220064617,0,0
4428408695,0,0
918713032242425857,0,0
196703665,0,0
569734676,0,0
770679337850929152,2,0
121917809,5,0
579315942,15,114
2610281298,0,1
1281245156528672768,1,13
276701028,0,0
573918122,0,0
808477736536801280,0,0
4167158953,1,0
111872402,1,2
539415563,2,0
850804519738802176,0,0
198068667,0,0
1208186567476547589,0,2
4463513118,3,0
2186967120,0,2
25056239,34,7
939810146,0,0
789979040224387073,0,2
195725262,2,0
947161755897159680,0,6
2191903799,0,11
309325348,2,1
1254617595145334792,0,0
219054801,0,0
1007505196304551936,0,0
2758107898,0,0
35712385,7,0
1336208903936200704,1,1
1040246940,0,0
741072285466042368,0,0
832816504118923265,82,15
1416414936,0,0
198819587,0,0
28550194,0,0
62470199,0,0
980299472197468160,0,0
535746228,3,0
3165232408,73,6
1247252244556328961,6,0
169047699,0,1
3271831387,0,0
818894913387511808,0,0
918306539131277312,0,0
92456334,3,0
415808169,0,0
48030701,3,0
477380502,0,0
1221343056240181248,0,0
842753430468796416,0,1
227478142,0,0
971208318,1,0
2824259304,1,0
1291645680474181634,0,0
924030625,13,1
1264465989548126209,0,0
704975410300321792,0,0
1253376479716655105,0,0
771097734820487168,3,0
595279208,0,0
1027462044,0,31
