twitter_handle,party,twitter_id
RepDianeBlack,Republican Party,110545675
RepDougCollins,Republican Party,1060487274
RepDrewFerguson,Republican Party,806583915012046854
RepEdRoyce,Republican Party,246769138
RepErikPaulsen,Republican Party,1117788375883354113
RepFrankLucas,Republican Party,242772524
RepFredUpton,Republican Party,124224165
RepFrenchHill,Republican Party,2953974395
RepGallagher,Republican Party,815966620300480514
RepGarretGraves,Republican Party,2951574214
RepGoodlatte,Republican Party,37920978
RepGosar,Republican Party,240760644
RepGusBilirakis,Republican Party,26051676
RepGuthrie,Republican Party,1908143071
RepHalRogers,Republican Party,550401754
RepHartzler,Republican Party,237763317
RepHensarling,Republican Party,18566912
RepHolding,Republican Party,1058460818
RepHuizenga,Republican Party,233949261
RepHultgren,Republican Party,237814920
RepJBridenstine,Republican Party,1092757885
RepJackBergman,Republican Party,815241612154417152
SenJasonLewis,Republican Party,157011694
RepJasonSmith,Republican Party,1623308912
JeffDenham,Republican Party,21346398
RepJeffDuncan,Republican Party,240393970
RepJimBanks,Republican Party,816131319033950208
RepJimRenacci,Republican Party,236916916
RepJoeBarton,Republican Party,19929362
RepJoeWilson,Republican Party,254082173
RepJohnFaso,Republican Party,815931811348017152
RepJohnKatko,Republican Party,2966765501
RepKayGranger,Republican Party,161743731
RepKenBuck,Republican Party,2862577383
RepKenMarchant,Republican Party,23976316
RepKevinBrady,Republican Party,19926675
SenKevinCramer,Republican Party,1048784496
kevinyoder,Republican Party,252819642
RepKinzinger,Republican Party,219429281
govkristinoem,Republican Party,235251868
RepLaHood,Republican Party,3686482216
RepLaMalfa,Republican Party,1069124515
RepLanceNJ7,Republican Party,613725908
RepLarryBucshon,Republican Party,234812598
RepLeeZeldin,Republican Party,2750127259
FrankLoBiondoNJ,Republican Party,241207373
RepLouBarletta,Republican Party,239871673
RepLoudermilk,Republican Party,2914163523
RepLukeMesser,Republican Party,2170620228
RepMGriffith,Republican Party,234057152
RepMarkMeadows,Republican Party,975198558461800449
RepMarkWalker,Republican Party,2966205003
MarthaRobyAL,Republican Party,224294785
RepMcCaul,Republican Party,26424123
RepMcClintock,Republican Party,50152441
RepMcKinley,Republican Party,240427862
PatMeehanPA,Republican Party,103868633
MiaBLove,Republican Party,343171266
RepMikeCoffman,Republican Party,19407835
RepMikeRogersAL,Republican Party,33977070
RepMikeTurner,Republican Party,51228911
MimiWaltersCA,Republican Party,2327941633
RepMoBrooks,Republican Party,237299871
RepMoolenaar,Republican Party,2696643955
RepMullin,Republican Party,1060370282
RepNewhouse,Republican Party,2930635215
joinpaulcook,Republican Party,57177310
RepPaulMitchell,Republican Party,811632636598910976
RepPeteKing,Republican Party,18277655
RepPeteOlson,Republican Party,20053279
RepPoliquin,Republican Party,2932617195
RepRWilliams,Republican Party,1077446982
RepRalphNorman,Republican Party,880480631108644864
RepRichHudson,Republican Party,935033864
RepRickAllen,Republican Party,2964287128
MikeBishopMI,Republican Party,37945547
RepRodBlum,Republican Party,2965083477
RepRussell,Republican Party,2966758114
RyanCostello,Republican Party,984591359192522752
RepRyanZinke,Republican Party,2953494478
RepSanfordSC,Republican Party,1499993378
RepScottPerry,Republican Party,18773159
SeanDuffyWI,Republican Party,234022257
RepShimkus,Republican Party,15600527
RepSmucker,Republican Party,41417564
RepStefanik,Republican Party,2962813893
Pearce4NM,Republican Party,38978018
RepSteveStivers,Republican Party,211420609
RepTedYoho,Republican Party,1071900114
RepThomasMassie,Republican Party,975200486
RepTipton,Republican Party,242873057
RepTomEmmer,Republican Party,2914515430
RepTomGarrett,Republican Party,818460870573441028
RepTomGraves,Republican Party,190328374
RepTomMacArthur,Republican Party,2962994194
RepTomMarino,Republican Party,579624328
RepTomPrice,Republican Party,6577802
TomReedCongress,Republican Party,63073834
RepTomRice,Republican Party,1058345042
RepTrey,Republican Party,811986281177772032
RepWalberg,Republican Party,237862972
RepWalorski,Republican Party,1065995022
RepWalterJones,Republican Party,26778110
RepWebster,Republican Party,281540744
RepWesterman,Republican Party,2852998461
RepublicanStudy,Republican Party,22528309
RobWittman,Republican Party,15356407
Robert_Aderholt,Republican Party,76452765
RodneyDavis,Republican Party,993153006
RosLehtinen,Republican Party,14275291
RoyBlunt,Republican Party,21269970
RulesReps,Republican Party,78369108
SamsPressShop,Republican Party,249288197
SenAlexander,Republican Party,76649729
SenBobCorker,Republican Party,73303753
SenCapito,Republican Party,193794406
SenCoryGardner,Republican Party,235217558
SenDanSullivan,Republican Party,2891210047
SenDeanHeller,Republican Party,266133081
SenJohnBarrasso,Republican Party,202206694
SenJohnHoeven,Republican Party,382791093
SenJohnKennedy,Republican Party,816683274076614656
SenJohnMcCain,Republican Party,19394188
SenJohnThune,Republican Party,296361085
SenJoniErnst,Republican Party,2856787757
SenMikeLee,Republican Party,88784440
SenPatRoberts,Republican Party,75364211
SenRonJohnson,Republican Party,233737858
SenRubioPress,Republican Party,229966028
SenSasse,Republican Party,2962923040
SenTedCruz,Republican Party,1074480192
SenThadCochran,Republican Party,555474658
SenThomTillis,Republican Party,2964174789
SenToddYoung,Republican Party,234128524
SenTomCotton,Republican Party,968650362
SenToomey,Republican Party,221162525
SenateCommerce,Republican Party,386092483
SenateGOP,Republican Party,14344823
SenateRPC,Republican Party,114896223
SenatorBurr,Republican Party,21157904
SenatorCollins,Republican Party,19726613
SenatorEnzi,Republican Party,291756142
SenatorFischer,Republican Party,1071402577
SenatorIsakson,Republican Party,78403308
SenatorLankford,Republican Party,225921757
SenatorRisch,Republican Party,1096059529
SenatorRounds,Republican Party,2955485182
SenatorTimScott,Republican Party,217543151
SenatorWicker,Republican Party,264219447
SpeakerRyan,Republican Party,18916432
SteveDaines,Republican Party,11651202
SteveKingIA,Republican Party,48117116
SteveScalise,Republican Party,1209417007
SusanWBrooks,Republican Party,1074101017
TGowdySC,Republican Party,237348797
TXRandy14,Republican Party,1058051748
ToddRokita,Republican Party,17544524
TomColeOK04,Republican Party,23124635
TomRooney,Republican Party,23970171
USRepGaryPalmer,Republican Party,2861616083
USRepLong,Republican Party,1444015610
VernBuchanan,Republican Party,20467163
WarrenDavidson,Republican Party,742735530287304704
WaysandMeansGOP,Republican Party,12788332
amashoffice,Republican Party,774742130329812992
boblatta,Republican Party,15394954
cathymcmorris,Republican Party,17976923
congbillposey,Republican Party,25086658
davereichert,Republican Party,581287697
farenthold,Republican Party,17896154
housebudgetGOP,Republican Party,778700700696010754
lisamurkowski,Republican Party,18061669
marcorubio,Republican Party,15745368
michaelcburgess,Republican Party,15751083
Mike_Pence,Republican Party,22203756
rep_stevewomack,Republican Party,234469322
repdonyoung,Republican Party,37007274
repgregwalden,Republican Party,32010840
replouiegohmert,Republican Party,22055226
RepPittenger,Republican Party,950328072
senategopfloor,Republican Party,476209692
sendavidperdue,Republican Party,2863210809
senorrinhatch,Republican Party,262756641
senrobportman,Republican Party,18915145
tedcruz,Republican Party,23022687
virginiafoxx,Republican Party,16256269
GovDunleavy,Republican Party,1060655470178787328
RepJerryCarl,Republican Party,1341091420439015424
RepBarryMoore,Republican Party,1339006078688825344
SenShelby,Republican Party,21111098
SenTuberville,Republican Party,1345739193721487362
GovernorKayIvey,Republican Party,19668491
RepRickCrawford,Republican Party,233693291
AsaHutchinson,Republican Party,269992801
repamata,Republican Party,3026622545
repohalleran,Democratic Party,808416682972770304
RepKirkpatrick,Democratic Party,1081240074946252801
repraulgrijalva,Democratic Party,28602948
RepAndyBiggsAZ,Republican Party,816652616625168388
RepDLesko,Republican Party,996094929733652481
repgregstanton,Democratic Party,1080885078425784320
senatorsinema,Democratic Party,1080844782
SenMarkKelly,Democratic Party,1324926274888888320
dougducey,Republican Party,20217019
RepJoshHarder,Democratic Party,1080851152151953410
RepMikeGarcia,Republican Party,1262531473057423361
RepBrownley,Democratic Party,1243902714
RepJimmyGomez,Democratic Party,2371339658
RepYoungKim,Republican Party,1344677401465397249
RepKatiePorter,Democratic Party,1081222837459996672
RepSteel,Republican Party,1343740146630451200
RepMikeLevin,Democratic Party,1072134139560620033
repdarrellissa,Republican Party,63650107
RepSaraJacobs,Democratic Party,1345103905869455361
JayObernolte,Republican Party,272482466
SenAlexPadilla,Democratic Party,1351236267707654145
senfeinstein,Democratic Party,476256944
RepJoeNeguse,Democratic Party,1078749802765139968
RepBoebert,Republican Party,1342989756611907584
repjasoncrow,Democratic Party,1080191866509901826
repperlmutter,Democratic Party,20552026
SenatorHick,Democratic Party,1318728336923787264
SenatorBennet,Democratic Party,224285242
GovofCO,Democratic Party,728344273620344832
repjoecourtney,Democratic Party,85396297
RepJahanaHayes,Democratic Party,1082086081238102018
GovNedLamont,Democratic Party,1076293903723233280
SenPaulStrauss,Democratic Party,792172915
RepLBR,Democratic Party,817050219007328258
senatorcarper,Democratic Party,249787913
RepMattGaetz,Republican Party,818948638890217473
RepFranklin,Republican Party,1343664721384398849
RepGregSteube,Republican Party,1083125649609506816
RepDonaldsPress,Republican Party,1343968646050283522
RepDWStweets,Democratic Party,1140648348
RepCarlos,Republican Party,1343679195034103808
RepMariaSalazar,Republican Party,1325928411689349120
RepKatCammack,Republican Party,1344325638983987201
RepRutherfordFL,Republican Party,828977216595849216
SenRickScott,Republican Party,131546062
GovRonDeSantis,Republican Party,1058807868
repBuddyCarter,Republican Party,2973870195
congressmanhice,Republican Party,2975091705
reploudermilk,Republican Party,2914163523
RepMTG,Republican Party,1344356576786866176
RepNikema,Democratic Party,1345461797361504259
RepLucyMcBath,Democratic Party,1082380458976051202
RepBourdeaux,Democratic Party,1343620645452595200
Rep_Clyde,Republican Party,1357017361568694274
SenOssoff,Democratic Party,1356714265894408196
SenatorWarnock,Democratic Party,1352287997853622273
GovKemp,Republican Party,1064659902071808000
guamcongressman,Democratic Party,346509049
louleonguerrero,Democratic Party,1086521832671346688
RepEdCase,Democratic Party,1081350574589833221
RepKahele,Democratic Party,1351966874377056257
GovHawaii,Democratic Party,2916915026
RepAshleyHinson,Republican Party,1340783304304410625
RepMMM,Republican Party,1345807954604412929
RepCindyAxne,Democratic Party,1080865917377097728
RepFeenstra,Republican Party,1345135363761852416
chuckgrassley,Republican Party,10615232
IAGovernor,Republican Party,851808935397011456
RepRussFulcher,Republican Party,1078741899572240384
mikecrapo,Republican Party,600463589
GovernorLittle,Republican Party,41266395
repbobbyrush,Democratic Party,305216911
repschneider,Democratic Party,1071840474
RepBost,Republican Party,2964877294
RepUnderwood,Democratic Party,1080539438508400642
RepMaryMiller,Republican Party,1343656635907125250
repkinzinger,Republican Party,219429281
RepMarieNewman,Democratic Party,1343578440977494018
RepChuyGarcia,Democratic Party,1082427779583541248
RepCasten,Democratic Party,1083472286089396224
GovPritzker,Democratic Party,1084817523378454529
RepJimBaird,Republican Party,1086316494450032640
RepSpartz,Republican Party,1344845201479663621
RepGregPence,Republican Party,1082369392229400576
SenatorBraun,Republican Party,1080870981877534720
sentoddyoung,Republican Party,234128524
GovHolcomb,Republican Party,4919082864
RepMann,Republican Party,1345825008887721986
RepLaTurner,Republican Party,1345850704800468993
RepDavids,Democratic Party,1080516116395499522
RepRonEstes,Republican Party,854715071116849157
jerrymoran,Republican Party,18632666
RepMarshall,Republican Party,752364246218862592
GovLauraKelly,Democratic Party,1040058893907513344
RepJamesComer,Republican Party,1274852794206388225
GovAndyBeshear,Democratic Party,1192549822865297409
RepTroyCarter,Democratic Party,1352760304271241218
RepClayHiggins,Republican Party,843636970538618880
RepMikeJohnson,Republican Party,827279765287559171
repjulialetlow,Republican Party,1382395679700439041
SenBillCassidy,Republican Party,1017500185356853248
LouisianaGov,Democratic Party,166374616
RepLoriTrahan,Democratic Party,1079802482640019456
RepAuchincloss,Democratic Party,1330278736554582016
TeamMoulton,Democratic Party,
RepPressley,Democratic Party,1080584229510172678
MassGovernor,Republican Party,18023868
RepAnthonyBrown,Democratic Party,823552974253342721
repdavidtrone,Democratic Party,1080573351914061825
RepKweisiMfume,Democratic Party,1276209702322438148
repraskin,Democratic Party,806906355214852096
GovLarryHogan,Republican Party,2987671552
RepGolden,Democratic Party,1080891667308298240
GovJanetMills,Democratic Party,1083795319027089408
RepLisaMcClain,Republican Party,1344032292432437248
RepHaleyStevens,Democratic Party,1076161611033968640
RepRashida,Democratic Party,1079769536730140672
RepMeijer,Republican Party,1334164871420796928
RepSlotkin,Democratic Party,1078401427347857408
